animal_name,animal_gender,animal_birth_year,breed_rc,borough,zip_code,license_issued_date,license_expired_date,extract_year
Abbey,F,2013,Weimaraner,Queens,11694,9/25/2014,9/25/2019,2016
Emma,F,2013,Vizsla,Queens,11694,9/25/2014,9/25/2019,2016
Grayson,M,2012,Chihuahua,Brooklyn,11221,9/25/2014,9/25/2017,2016
Bo,M,2011,Maltese,Queens,11372,9/25/2014,10/7/2017,2016
Angel,F,2003,Unknown,Bronx,10469,9/25/2014,9/30/2016,2016
Coco,F,2008,German Shepherd Dog,Brooklyn,11221,9/26/2014,9/26/2019,2016
Pork,F,2011,"Bull Dog, English",Manhattan,10019,9/26/2014,9/26/2019,2016
Bonnie,F,2009,Maltese,Queens,11358,9/26/2014,10/21/2016,2016
Scoobie,M,2005,Jack Russell Terrier,Brooklyn,11221,9/26/2014,6/29/2016,2016
Dino,M,2003,Unknown,Brooklyn,11221,9/26/2014,7/30/2016,2016
Bianca,F,2006,Shih Tzu,Manhattan,10023,9/26/2014,6/29/2017,2016
Christmas,F,2008,Miniature Schnauzer,Manhattan,10016,9/26/2014,9/26/2017,2016
Chase,M,2011,Unknown,Queens,11414,9/26/2014,2/13/2019,2016
Lulu,F,2010,"Poodle, Miniature",Brooklyn,11211,9/26/2014,9/26/2018,2016
Harley,F,2014,Pomeranian,Manhattan,10009,9/26/2014,9/26/2016,2016
Rocko,M,2013,Chihuahua,Manhattan,10035,9/27/2014,9/27/2017,2016
Kinley,F,2012,German Shepherd Dog,Queens,11377,9/27/2014,9/27/2019,2016
Augie,M,2008,Pug,Brooklyn,11238,9/27/2014,10/28/2016,2016
Mojeau,M,2009,Brussels Griffon,Manhattan,10011,9/27/2014,10/14/2019,2016
Wendell,M,2011,Wire Fox Terrier,Manhattan,10023,9/27/2014,8/2/2016,2016
Ranger,M,2014,German Shepherd Dog,Queens,11414,9/27/2014,9/27/2019,2016
Murphy,M,2010,Puggle,Bronx,10463,9/27/2014,9/27/2017,2016
Shashi,F,2009,Jack Russell Terrier,Manhattan,10021,9/27/2014,9/27/2019,2016
Daisy,F,2003,"Poodle, Standard",Brooklyn,11234,9/27/2014,10/30/2016,2016
Ajaxx,M,2014,Miniature Pinscher,Brooklyn,11222,9/28/2014,9/28/2016,2016
Toby,M,2012,Havanese,Manhattan,10033,9/28/2014,9/28/2017,2016
Archie,F,2011,Labrador (or Crossbreed),Manhattan,10027,9/28/2014,9/28/2019,2016
Aja,F,2010,Unknown,Bronx,10463,9/28/2014,9/26/2016,2016
Cody,M,2012,Pug,Manhattan,10002,9/28/2014,4/13/2016,2016
Dexter,M,2013,Labrador (or Crossbreed),Manhattan,10032,9/28/2014,9/26/2017,2016
Brian,M,2012,"Mastiff, Bull",Manhattan,10027,9/28/2014,7/3/2017,2016
Barney,M,2004,Beagle,Manhattan,10024,9/29/2014,10/1/2016,2016
Q,M,2008,Chihuahua,Brooklyn,11222,9/29/2014,3/6/2019,2016
Oliver,M,2012,"Poodle, Miniature",Manhattan,10019,9/29/2014,9/29/2019,2016
Loki,F,2014,German Shepherd Crossbreed,Brooklyn,11231,9/29/2014,9/29/2019,2016
Beck,M,2012,Dachshund Smooth Coat,Manhattan,10027,9/29/2014,9/29/2016,2016
Duke,M,2012,Unknown,Staten Island,10306,9/29/2014,9/6/2019,2016
Wendy,F,2011,German Wirehaired Pointer,Manhattan,10022,9/29/2014,9/29/2016,2016
Cooper,M,2014,Unknown,Brooklyn,11222,9/29/2014,9/29/2019,2016
Bella,F,2007,Chow Chow,Queens,11429,9/29/2014,9/29/2016,2016
Finley,M,2013,"Poodle, Standard",Brooklyn,11215,9/29/2014,9/29/2017,2016
Rocky,M,2004,Chihuahua,Brooklyn,11222,9/29/2014,4/29/2019,2016
Ginny,F,2004,Unknown,Manhattan,10022,9/29/2014,9/29/2016,2016
Bennie,M,2010,Dachshund Smooth Coat,Bronx,10471,9/29/2014,9/29/2017,2016
Kyla,F,2012,Pit Bull,Brooklyn,11209,9/29/2014,9/29/2016,2016
Coco,F,2012,Poodle,Queens,11378,9/30/2014,9/30/2016,2016
Sasha,F,2012,Beagle,Manhattan,10014,9/30/2014,9/30/2019,2016
Dashwood,M,2014,Shetland Sheepdog,Manhattan,10023,9/30/2014,9/30/2016,2016
Oliver,M,2014,English Setter,Brooklyn,11238,9/30/2014,9/30/2019,2016
Wylie,M,2010,German Shepherd Dog,Manhattan,10014,9/30/2014,9/30/2019,2016
Copper,M,2007,"Welsh Corgi, Cardigan",Manhattan,10022,9/30/2014,9/30/2016,2016
Kodie,M,2012,Border Collie,Staten Island,10301,9/30/2014,9/30/2017,2016
Tikuioe,M,2014,Yorkshire Terrier,Queens,11373,10/1/2014,10/1/2017,2016
Ricky,M,2003,Chihuahua,Manhattan,10011,10/1/2014,10/30/2017,2016
Darcy,F,2010,Dachshund,Manhattan,10014,10/1/2014,10/1/2016,2016
Hundley,M,2012,Chihuahua,Queens,11105,10/1/2014,10/5/2017,2016
Dayo,M,2011,Unknown,Staten Island,10306,10/1/2014,10/2/2019,2016
Mchumba,M,2012,Rhodesian Ridgeback,Staten Island,10306,10/1/2014,10/20/2019,2016
Kumbuka,F,2010,Rhodesian Ridgeback,Staten Island,10306,10/1/2014,10/22/2019,2016
Uma,F,2009,Rottweiler,Bronx,10456,10/1/2014,10/19/2017,2016
Raye,F,2008,Unknown,Queens,11105,10/1/2014,2/11/2017,2016
Jake,M,2013,Puggle,Manhattan,10026,10/1/2014,10/1/2017,2016
Pebble,F,2012,Maltese,NA,11249,10/1/2014,10/19/2017,2016
Princess,F,2008,Lhasa Apso,Queens,11694,10/1/2014,10/28/2017,2016
Louie,M,2008,Papillon,Queens,11105,10/1/2014,9/7/2017,2016
Maddie,F,2007,Labrador (or Crossbreed),Bronx,10471,10/1/2014,5/26/2016,2016
Simba,M,2012,Golden Retriever,Queens,11426,10/2/2014,10/2/2017,2016
Jake,M,2012,Norwich Terrier,Manhattan,10027,10/2/2014,11/25/2016,2016
Winston,M,2013,Wheaton Terrier,Manhattan,10021,10/2/2014,10/2/2018,2016
Maximus,M,2010,Dachshund Smooth Coat,Brooklyn,11222,10/2/2014,10/2/2017,2016
Lucy,F,2012,Dalmatian,Brooklyn,11231,10/2/2014,10/2/2016,2016
Oona,F,2013,Yorkshire Terrier,Manhattan,10021,10/2/2014,10/2/2018,2016
Leo,M,2010,Rhodesian Ridgeback,Brooklyn,11201,10/2/2014,1/28/2017,2016
Franny,F,2014,German Shepherd Dog,Manhattan,10011,10/2/2014,10/2/2019,2016
Oz,M,2013,Yorkshire Terrier,Manhattan,10021,10/2/2014,10/2/2018,2016
Maxx,M,2014,Cane Corso,Staten Island,10301,10/3/2014,10/3/2016,2016
Boomer,M,2013,Collie Crossbreed,Bronx,10461,10/3/2014,10/3/2017,2016
B,F,2013,Unknown,Manhattan,10003,10/3/2014,10/23/2019,2016
Eddie,M,2011,Maltese,Brooklyn,11225,10/3/2014,8/28/2016,2016
Joanie,F,2010,Chihuahua,Brooklyn,11209,10/3/2014,10/3/2017,2016
Maxi,M,2013,"Poodle, Toy",Manhattan,10282,10/3/2014,10/3/2016,2016
Blue,F,2009,Pit Bull,Brooklyn,11218,10/3/2014,2/27/2016,2016
Valentina,F,2011,Yorkshire Terrier,Brooklyn,11229,10/3/2014,8/26/2016,2016
Eze,M,2008,"Poodle, Standard",Manhattan,10002,10/3/2014,9/23/2017,2016
Reily,F,2007,Maltese,Brooklyn,11225,10/3/2014,10/7/2016,2016
Lloyd,M,2006,Boston Terrier,Manhattan,10025,10/3/2014,10/3/2016,2016
Yoshi,F,2009,Chihuahua,Queens,11378,10/4/2014,10/4/2019,2016
Lola,F,2002,Dachshund,Manhattan,10011,10/4/2014,10/4/2017,2016
Butch,M,2012,Shih Tzu,Bronx,10459,10/4/2014,10/4/2016,2016
Barkley,F,2013,Jack Russell Terrier,Brooklyn,11201,10/4/2014,10/2/2017,2016
Buddy,M,2014,Labrador (or Crossbreed),Manhattan,10016,10/4/2014,10/4/2019,2016
Queenie,F,2004,Dachshund Smooth Coat,Manhattan,10003,10/4/2014,10/4/2017,2016
Alistair,M,2012,Labradoodle,Manhattan,10011,10/4/2014,10/4/2016,2016
Indiana,M,2013,Vizsla,Manhattan,10075,10/4/2014,11/24/2016,2016
Zoey,F,2012,Pit Bull,Queens,11416,10/4/2014,10/4/2017,2016
Layla,F,2013,Havanese,Manhattan,10065,10/4/2014,10/4/2019,2016
Dashiell,M,2001,Unknown,Brooklyn,11201,10/5/2014,10/31/2016,2016
Sensation,F,2014,Mastiff,Manhattan,10035,10/5/2014,10/5/2016,2016
Seaver,M,2013,Labrador (or Crossbreed),Queens,11106,10/5/2014,10/6/2019,2016
Betsy,F,2006,Unknown,Manhattan,10021,10/5/2014,10/31/2019,2016
Adeline,F,2013,"Poodle, Toy",Manhattan,10036,10/5/2014,10/5/2019,2016
Simba,M,2014,Beagle,Queens,11385,10/5/2014,10/5/2016,2016
Buddy,M,2010,Cocker Spaniel,Manhattan,10038,10/5/2014,10/15/2019,2016
Blu,M,2014,Cane Corso,Brooklyn,11216,10/5/2014,10/5/2019,2016
Bourne,M,2014,Golden Retriever,Brooklyn,11201,10/5/2014,10/5/2017,2016
Temptation,M,2014,Mastiff,Manhattan,10035,10/5/2014,10/5/2016,2016
Cookie,F,2007,Yorkshire Terrier,Brooklyn,11222,10/6/2014,10/6/2016,2016
Zai,M,2010,Belgian Malinois,Brooklyn,11221,10/6/2014,10/6/2017,2016
Remy,M,2011,Bichon Frise,Queens,11355,10/6/2014,10/6/2017,2016
Nucky,F,2012,"Bull Dog, French",Brooklyn,11222,10/6/2014,4/22/2019,2016
Lily,F,2007,Labrador (or Crossbreed),Queens,11378,10/6/2014,10/6/2019,2016
Danny,M,2006,Unknown,Bronx,10471,10/6/2014,10/7/2017,2016
Bear,M,2013,Poodle,Brooklyn,11215,10/6/2014,10/6/2019,2016
Gracie,F,2002,Unknown,Staten Island,10304,10/6/2014,10/30/2016,2016
Sweetie,F,2011,Unknown,Brooklyn,11235,10/6/2014,10/11/2019,2016
Jasmine,F,2007,Chihuahua,Staten Island,10304,10/6/2014,10/1/2016,2016
Angel,M,2008,Yorkshire Terrier,Brooklyn,11222,10/6/2014,10/6/2016,2016
Scout,F,2013,"Poodle, Miniature",Manhattan,10023,10/6/2014,10/6/2016,2016
Tuna,F,2005,Toy Fox Terrier,Brooklyn,11221,10/6/2014,10/6/2017,2016
Chewy,M,2003,Greyhound,Staten Island,10314,10/6/2014,3/29/2016,2016
Jordan,F,2007,American Staffordshire Terrier,Manhattan,10040,10/7/2014,10/7/2016,2016
Bandit,M,2014,Shih Tzu,Manhattan,10001,10/7/2014,10/7/2016,2016
Spencer,F,2014,German Shepherd Crossbreed,Brooklyn,11215,10/7/2014,10/7/2019,2016
Mia,F,2009,Miniature American Shepherd,Queens,11106,10/7/2014,10/7/2019,2016
Skippy,M,2004,Jack Russell Terrier,Brooklyn,11215,10/7/2014,10/7/2017,2016
Cushi,M,2011,Yorkshire Terrier,Queens,11372,10/7/2014,2/17/2016,2016
Travis,M,2007,"Poodle, Miniature",Manhattan,10007,10/7/2014,10/7/2017,2016
Maybellene,F,2007,Unknown,Brooklyn,11222,10/7/2014,5/7/2017,2016
Dax,M,2009,"Welsh Corgi, Cardigan",Manhattan,10021,10/7/2014,10/7/2019,2016
